[ INFO] [2013-10-09 09:06:56]  [play.Logger] -Starting E:\iquant_ext\iquantClient
[ INFO] [2013-10-09 09:06:58]  [play.Logger] -Module redis is available (E:\javaTools\play1\modules\redis-0.3)
[ INFO] [2013-10-09 09:06:58]  [play.Logger] -Module excel is available (E:\javaTools\play1\modules\excel-1.2.3)
[ INFO] [2013-10-09 09:06:58]  [play.Logger] -Module guice is available (E:\javaTools\play1\modules\guice-1.2)
[ INFO] [2013-10-09 09:06:58]  [play.Logger] -Module iquantCommon is available (E:\iquant_ext\iquantClient\..\iquantCommon)
[ WARN] [2013-10-09 09:07:00]  [play.Logger] -You're running Play! in DEV mode
[ INFO] [2013-10-09 09:07:00]  [play.Logger] -Listening for HTTP on port 9000 (Waiting a first request to start) ...
[ INFO] [2013-10-09 09:08:29]  [play.Logger] -Connecting to redis with redis://localhost:6379
[ INFO] [2013-10-09 09:08:29]  [play.Logger] -sql==/* mysql-connector-java-5.1.20 ( Revision: tonci.grgin@oracle.com-20111003110438-qfydx066wsbydkbw ) */SHOW VARIABLES WHERE Variable_name ='language' OR Variable_name = 'net_write_timeout' OR Variable_name = 'interactive_timeout' OR Variable_name = 'wait_timeout' OR Variable_name = 'character_set_client' OR Variable_name = 'character_set_connection' OR Variable_name = 'character_set' OR Variable_name = 'character_set_server' OR Variable_name = 'tx_isolation' OR Variable_name = 'transaction_isolation' OR Variable_name = 'character_set_results' OR Variable_name = 'timezone' OR Variable_name = 'time_zone' OR Variable_name = 'system_time_zone' OR Variable_name = 'lower_case_table_names' OR Variable_name = 'max_allowed_packet' OR Variable_name = 'net_buffer_length' OR Variable_name = 'sql_mode' OR Variable_name = 'query_cache_type' OR Variable_name = 'query_cache_size' OR Variable_name = 'init_connect'
[ INFO] [2013-10-09 09:08:30]  [play.Logger] -sql==/* mysql-connector-java-5.1.20 ( Revision: tonci.grgin@oracle.com-20111003110438-qfydx066wsbydkbw ) */SELECT @@session.auto_increment_increment
[ INFO] [2013-10-09 09:08:30]  [play.Logger] -sql==SHOW COLLATION
[ INFO] [2013-10-09 09:08:30]  [play.Logger] -sql==SET NAMES utf8
[ INFO] [2013-10-09 09:08:30]  [play.Logger] -sql==SET character_set_results = NULL
[ INFO] [2013-10-09 09:08:30]  [play.Logger] -sql==SET collation_connection = utf8_general_ci
[ INFO] [2013-10-09 09:08:30]  [play.Logger] -sql==SET autocommit=1
[ INFO] [2013-10-09 09:08:30]  [play.Logger] -sql==SET sql_mode='STRICT_TRANS_TABLES'
[ INFO] [2013-10-09 09:08:30]  [play.Logger] -sql==/* mysql-connector-java-5.1.20 ( Revision: tonci.grgin@oracle.com-20111003110438-qfydx066wsbydkbw ) */SHOW VARIABLES WHERE Variable_name ='language' OR Variable_name = 'net_write_timeout' OR Variable_name = 'interactive_timeout' OR Variable_name = 'wait_timeout' OR Variable_name = 'character_set_client' OR Variable_name = 'character_set_connection' OR Variable_name = 'character_set' OR Variable_name = 'character_set_server' OR Variable_name = 'tx_isolation' OR Variable_name = 'transaction_isolation' OR Variable_name = 'character_set_results' OR Variable_name = 'timezone' OR Variable_name = 'time_zone' OR Variable_name = 'system_time_zone' OR Variable_name = 'lower_case_table_names' OR Variable_name = 'max_allowed_packet' OR Variable_name = 'net_buffer_length' OR Variable_name = 'sql_mode' OR Variable_name = 'query_cache_type' OR Variable_name = 'query_cache_size' OR Variable_name = 'init_connect'
